"","activity","subject","colMeans"
"1",1,1,0.274347260646063
"2",1,1,-0.0177434918458972
"3",1,1,-0.108925032737064
"4",1,1,-0.607783818968688
"5",1,1,-0.510191378479501
"6",1,1,-0.61306429934125
"7",1,1,-0.633592610907429
"8",1,1,-0.525696539001884
"9",1,1,-0.61498890978365
"10",1,1,-0.466732370523269
"11",1,1,-0.305180462546411
"12",1,1,-0.562229619850407
"13",1,1,0.525304172511095
"14",1,1,0.389536587321513
"15",1,1,0.598021923353949
"16",1,1,-0.552087115648893
"17",1,1,-0.825459670396252
"18",1,1,-0.902704282327838
"19",1,1,-0.854661759222973
"20",1,1,-0.689161821371472
"21",1,1,-0.643511768623583
"22",1,1,-0.640685815482928
"23",1,1,-0.100331848808134
"24",1,1,-0.128765122937701
"25",1,1,-0.157863394141636
"26",1,1,-0.118954333677729
"27",1,1,0.108573706261895
"28",1,1,-0.0356994169213299
"29",1,1,0.122000192842546
"30",1,1,-0.029676503537188
"31",1,1,0.0317237742172389
"32",1,1,0.155147508424199
"33",1,1,-0.0180767920878722
"34",1,1,0.00611033964754394
"35",1,1,0.0377291540841395
"36",1,1,0.034423733821314
"37",1,1,-0.0826692044542652
"38",1,1,-0.120308569497857
"39",1,1,-0.19774621582879
"40",1,1,0.102198864072034
"41",1,1,0.669226222373046
"42",1,1,0.00403879092060517
"43",1,1,0.0921508600211059
"44",1,1,-0.965207115039421
"45",1,1,-0.95440802665318
"46",1,1,-0.938900969424022
"47",1,1,-0.966017547593359
"48",1,1,-0.955361184463938
"49",1,1,-0.940206277312749
"50",1,1,0.609058202575891
"51",1,1,-0.0103216842233446
"52",1,1,0.0967393305199664
"53",1,1,0.683762046463103
"54",1,1,0.0166078634418512
"55",1,1,0.0793492718974707
"56",1,1,-0.0985870819600584
"57",1,1,0.446206727733547
"58",1,1,-0.721469908539694
"59",1,1,-0.763609232749742
"60",1,1,-0.968239871201476
"61",1,1,-0.958592816013108
"62",1,1,-0.944775940840858
"63",1,1,-0.674768951348029
"64",1,1,-0.866704392505228
"65",1,1,-0.669100243301527
"66",1,1,-0.504401651936594
"67",1,1,0.542886549905516
"68",1,1,-0.580674458607939
"69",1,1,0.617818193775729
"70",1,1,-0.343618301448707
"71",1,1,0.330183502639498
"72",1,1,-0.360744984572308
"73",1,1,0.408875435293201
"74",1,1,-0.428082912307475
"75",1,1,0.453367251514286
"76",1,1,-0.478049652346497
"77",1,1,0.499489809797114
"78",1,1,0.17568274446598
"79",1,1,-0.108287775463795
"80",1,1,0.0848488415988038
"81",1,1,0.0789381220355816
"82",1,1,0.0079481069090025
"83",1,1,-0.00467469823628666
"84",1,1,-0.63978102073413
"85",1,1,-0.607971599340832
"86",1,1,-0.762820240449202
"87",1,1,-0.636851832334041
"88",1,1,-0.594046436674004
"89",1,1,-0.756511705504896
"90",1,1,-0.699625727365398
"91",1,1,-0.747833595469583
"92",1,1,-0.818722317836936
"93",1,1,0.616034393890846
"94",1,1,0.684870159457075
"95",1,1,0.739588241708783
"96",1,1,-0.64699127583794
"97",1,1,-0.850337515970628
"98",1,1,-0.827254361855015
"99",1,1,-0.930710203190173
"100",1,1,-0.627489707225369
"101",1,1,-0.659832855678513
"102",1,1,-0.770833756877427
"103",1,1,-0.0826069359182658
"104",1,1,-0.0878825241379454
"105",1,1,-0.127330544548232
"106",1,1,-0.108572863267843
"107",1,1,0.169659030981525
"108",1,1,0.0676044397361048
"109",1,1,0.126467828047418
"110",1,1,-0.0727178062014458
"111",1,1,0.0686944741749914
